,comments,views,Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw.dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing
comments,1,0.530938701,0.393633806,0.38052817,0.541834985,0.537959871,0.360272084,0.510356107,0.439421476,0.559175122,0.331143322,0.454266084,0.472195857,0.408906202,0.635895362,0.448937551
views,0.530938701,1,0.554991336,0.41002381,0.55691989,0.774303686,0.594588252,0.759690634,0.602628996,0.775338833,0.441740476,0.452402559,0.701249021,0.252338482,0.725673522,0.279687948
Beautiful,0.393633806,0.554991336,1,0.243312031,0.604039962,0.611428513,0.297671348,0.395400164,0.306446682,0.705615381,0.426961971,0.305033363,0.365444004,0.157575609,0.385340257,0.130401998
Confusing,0.38052817,0.41002381,0.243312031,1,0.254055298,0.410677412,0.268377679,0.332954433,0.280174647,0.306576548,0.26953693,0.634366675,0.534357081,0.576950616,0.331816798,0.641209956
Courageous,0.541834985,0.55691989,0.604039962,0.254055298,1,0.489921503,0.257472534,0.457787741,0.223809275,0.705003963,0.298664608,0.321379653,0.359039369,0.236299723,0.505862506,0.208014169
Fascinating,0.537959871,0.774303686,0.611428513,0.410677412,0.489921503,1,0.443198932,0.791980686,0.659729292,0.718828857,0.655339979,0.442308761,0.5686686,0.220170308,0.639584331,0.240982422
Funny,0.360272084,0.594588252,0.297671348,0.268377679,0.257472534,0.443198932,1,0.390463833,0.549973788,0.483642509,0.213707887,0.284595356,0.433660703,0.205993857,0.504354648,0.133798741
Informative,0.510356107,0.759690634,0.395400164,0.332954433,0.457787741,0.791980686,0.390463833,1,0.502719343,0.674480492,0.374255897,0.416772219,0.617003601,0.192270696,0.790009442,0.265110986
Ingenious,0.439421476,0.602628996,0.306446682,0.280174647,0.223809275,0.659729292,0.549973788,0.502719343,1,0.521355074,0.564263704,0.27623532,0.429752514,0.160706337,0.529285355,0.16512821
Inspiring,0.559175122,0.775338833,0.705615381,0.306576548,0.705003963,0.718828857,0.483642509,0.674480492,0.521355074,1,0.377955626,0.427364892,0.589572275,0.217775249,0.789763442,0.242131603
Jaw.dropping,0.331143322,0.441740476,0.426961971,0.26953693,0.298664608,0.655339979,0.213707887,0.374255897,0.564263704,0.377955626,1,0.223552775,0.277991098,0.153262791,0.267452939,0.121702983
Longwinded,0.454266084,0.452402559,0.305033363,0.634366675,0.321379653,0.442308761,0.284595356,0.416772219,0.27623532,0.427364892,0.223552775,1,0.625674324,0.520126399,0.456786138,0.516183547
OK,0.472195857,0.701249021,0.365444004,0.534357081,0.359039369,0.5686686,0.433660703,0.617003601,0.429752514,0.589572275,0.277991098,0.625674324,1,0.37342778,0.610193162,0.489627562
Obnoxious,0.408906202,0.252338482,0.157575609,0.576950616,0.236299723,0.220170308,0.205993857,0.192270696,0.160706337,0.217775249,0.153262791,0.520126399,0.37342778,1,0.278110477,0.750843683
Persuasive,0.635895362,0.725673522,0.385340257,0.331816798,0.505862506,0.639584331,0.504354648,0.790009442,0.529285355,0.789763442,0.267452939,0.456786138,0.610193162,0.278110477,1,0.350062752
Unconvincing,0.448937551,0.279687948,0.130401998,0.641209956,0.208014169,0.240982422,0.133798741,0.265110986,0.16512821,0.242131603,0.121702983,0.516183547,0.489627562,0.750843683,0.350062752,1